title;start_time;end_time;description;exercise_title;superset_id;exercise_notes;set_index;set_type;weight_kg;reps;distance_km;duration_seconds;rpe
Upper;18/12/2025 12.34;18/12/2025 14.09;;Shoulder Press (Dumbbell);;Hak 7;0;normal;20;8;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Shoulder Press (Dumbbell);;Hak 7;1;normal;18;8;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Lat Pulldown (Cable);;;0;normal;80;11;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Lat Pulldown (Cable);;;1;normal;80;10;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Lat Pulldown (Cable);;;2;normal;80;7;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Bench Press (Smith Machine);;;0;normal;675;7;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Bench Press (Smith Machine);;;1;normal;65;5;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Bench Press (Smith Machine);;;2;normal;60;6;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Seated Cable Row - V Grip (Cable);;;0;normal;80;9;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Seated Cable Row - V Grip (Cable);;;1;normal;75;9;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Seated Cable Row - V Grip (Cable);;;2;normal;75;6;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Rear Delt Reverse Fly (Machine);;;0;normal;80;11;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Rear Delt Reverse Fly (Machine);;;1;normal;80;8;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Rear Delt Reverse Fly (Machine);;;2;normal;70;9;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Lateral Raise (Cable);;;0;normal;475;12;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Lateral Raise (Cable);;;1;normal;475;12;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Lateral Raise (Cable);;;2;normal;475;12;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Lateral Raise (Cable);;;3;normal;475;12;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Lateral Raise (Cable);;;4;normal;475;10;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Lateral Raise (Cable);;;5;normal;475;11;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Skullcrusher (Barbell);;;0;normal;225;14;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Skullcrusher (Barbell);;;1;normal;225;12;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Skullcrusher (Barbell);;;2;normal;225;10;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;EZ Bar Biceps Curl;;;0;normal;225;13;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;EZ Bar Biceps Curl;;;1;normal;225;10;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;EZ Bar Biceps Curl;;;2;normal;225;9;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Seated Incline Curl (Dumbbell);;;0;normal;125;12;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Seated Incline Curl (Dumbbell);;;1;normal;125;9;;;
Upper;18/12/2025 12.34;18/12/2025 14.09;;Seated Incline Curl (Dumbbell);;;2;normal;125;6;;;
Lower;17/12/2025 12.52;17/12/2025 13.44;;Lying Leg Curl (Machine);;;0;normal;65;12;;;
Lower;17/12/2025 12.52;17/12/2025 13.44;;Lying Leg Curl (Machine);;;1;normal;65;8;;;
Lower;17/12/2025 12.52;17/12/2025 13.44;;Lying Leg Curl (Machine);;;2;normal;60;8;;;
Lower;17/12/2025 12.52;17/12/2025 13.44;;Leg Press Horizontal (Machine);;;0;normal;140;11;;;
Lower;17/12/2025 12.52;17/12/2025 13.44;;Leg Press Horizontal (Machine);;;1;normal;140;8;;;
Lower;17/12/2025 12.52;17/12/2025 13.44;;Leg Press Horizontal (Machine);;;2;normal;140;6;;;
Lower;17/12/2025 12.52;17/12/2025 13.44;;Leg Extension (Machine);;;0;normal;190;12;;;
Lower;17/12/2025 12.52;17/12/2025 13.44;;Leg Extension (Machine);;;1;normal;190;10;;;
Lower;17/12/2025 12.52;17/12/2025 13.44;;Leg Extension (Machine);;;2;normal;190;7;;;
Lower;17/12/2025 12.52;17/12/2025 13.44;;Back Extension (Machine);;;0;normal;5625;12;;;
Lower;17/12/2025 12.52;17/12/2025 13.44;;Back Extension (Machine);;;1;normal;5625;8;;;
Lower;17/12/2025 12.52;17/12/2025 13.44;;Back Extension (Machine);;;2;normal;5625;5;;;
Lower;17/12/2025 12.52;17/12/2025 13.44;;Crunch (Machine);;;0;normal;5625;17;;;
Lower;17/12/2025 12.52;17/12/2025 13.44;;Crunch (Machine);;;1;normal;5625;9;;;
Lower;17/12/2025 12.52;17/12/2025 13.44;;Calf Press (Machine);;;0;normal;1475;16;;;
Lower;17/12/2025 12.52;17/12/2025 13.44;;Calf Press (Machine);;;1;normal;1475;13;;;
Lower;17/12/2025 12.52;17/12/2025 13.44;;Calf Press (Machine);;;2;normal;1475;11;;;
